Date,Earnings
2023-03-24,8.78
2023-03-07,7.08
2023-03-12,4.50
2023-03-15,6.77
2023-03-14,8.12
2023-03-28,7.57
2023-03-17,6.94
2023-03-05,8.45
2023-03-01,9.52
2023-03-18,6.96
2023-03-19,6.23
2023-03-21,7.34
2023-03-16,7.43
2023-03-27,7.59
2023-03-20,7.72
2023-03-09,6.22
2023-03-08,5.82
2023-03-13,7.00
2023-03-26,6.31
2023-03-30,7.11
2023-03-10,6.03
2023-03-31,8.01
2023-03-03,8.16
2023-03-11,6.05
2023-03-22,7.40
2023-03-06,8.47
2023-03-25,7.49
2023-03-04,7.65
2023-03-29,7.05
2023-03-23,9.25
2023-03-02,10.38
